Time,Ptot_mea,easPhvac_mea,easTdb_mea,halPhvac_mea,halTdb_mea,wesPhvac_mea,wesTdb_mea
01/01/15 12:00 AM,0,0,293.15,0,293.15,0,293.15
01/01/15 12:30 AM,0,0,290.257352118,0,293.178851003,0,290.257317791
01/01/15 01:00 AM,0,0,289.565739655,0,292.888206776,0,289.565350239
01/01/15 01:30 AM,0,0,289.079096303,0,292.482153874,0,289.07813542
01/01/15 02:00 AM,0,0,288.704943112,0,292.064392137,0,288.703513583
01/01/15 02:30 AM,0,0,288.364096843,0,291.656352546,0,288.362517971
01/01/15 03:00 AM,0,0,288.079136484,0,291.265003245,0,288.077365139
01/01/15 03:30 AM,0,0,287.781866769,0,290.887495478,0,287.779851425
01/01/15 04:00 AM,0,0,287.46966166,0,290.523313781,0,287.467576385
01/01/15 04:30 AM,0,0,287.163868201,0,290.168888024,0,287.161828849
01/01/15 05:00 AM,0,0,286.878024456,0,289.822863374,0,286.876076393
01/01/15 05:30 AM,0,0,286.601157924,0,289.48567963,0,286.599332741
01/01/15 06:00 AM,0,0,286.324662453,0,289.157817364,0,286.321287796
01/01/15 06:30 AM,0,0,286.058540252,0,288.839801612,0,286.0425695
01/01/15 07:00 AM,0,0,285.875516483,0,288.539170772,0,285.799524513
01/01/15 07:30 AM,0,0,286.298000566,0,288.306331207,0,285.824217034
01/01/15 08:00 AM,0,0,287.573543183,0,288.253432116,0,286.12433508
01/01/15 08:30 AM,0,0,288.793515655,0,288.324869328,0,286.275802734
01/01/15 09:00 AM,0,0,290.18882787,0,288.538936266,0,286.364789647
01/01/15 09:30 AM,0,0,291.516571729,0,288.881894617,0,286.477679145
01/01/15 10:00 AM,0,0,292.394310325,0,289.281235769,0,286.631185749
01/01/15 10:30 AM,0,0,292.802110371,0,289.663842353,0,286.826554636
01/01/15 11:00 AM,0,0,292.768025544,0,289.989432125,0,287.059947608
01/01/15 11:30 AM,0,0,292.388428608,0,290.243432978,0,287.284990914
01/01/15 12:00 PM,0,0,291.966975348,0,290.432463045,0,287.499435643
01/01/15 12:30 PM,0,0,291.871539271,0,290.583267141,0,287.842931488
01/01/15 01:00 PM,0,0,291.94862669,0,290.727059482,0,288.334011529
01/01/15 01:30 PM,0,0,292.008973016,0,290.879224686,0,288.752910485
01/01/15 02:00 PM,0,0,292.023290618,0,291.033215831,0,289.073792616
01/01/15 02:30 PM,0,0,291.987124229,0,291.172668929,0,289.285442951
01/01/15 03:00 PM,0,0,291.87960094,0,291.282882217,0,289.388466788
01/01/15 03:30 PM,0,0,291.741119507,0,291.355145279,0,289.407246817
01/01/15 04:00 PM,0,0,291.599957471,0,291.384733615,0,289.333839395
01/01/15 04:30 PM,0,0,291.127468987,0,291.33717817,0,288.8340805
01/01/15 05:00 PM,0,0,290.497359746,0,291.193052406,0,288.098832221
01/01/15 05:30 PM,0,0,290.120994663,0,290.975376548,0,287.633289673
01/01/15 06:00 PM,0,0,289.845205476,0,290.728767262,0,287.345896787
01/01/15 06:30 PM,0,0,289.554366984,0,290.477061252,0,287.080218998
01/01/15 07:00 PM,0,0,289.238395239,0,290.22598733,0,286.811125729
01/01/15 07:30 PM,0,0,288.947339778,0,289.974217404,0,286.570299999
01/01/15 08:00 PM,0,0,288.708847649,0,289.724141077,0,286.379389485
01/01/15 08:30 PM,0,0,288.511808525,0,289.48075871,0,286.225621123
01/01/15 09:00 PM,0,0,288.349991249,0,289.247972517,0,286.09774741
01/01/15 09:30 PM,0,0,288.170983363,0,289.02749976,0,285.957221155
01/01/15 10:00 PM,0,0,287.949290944,0,288.816294714,0,285.786898968
01/01/15 10:30 PM,0,0,287.714697963,0,288.609527732,0,285.60282998
01/01/15 11:00 PM,0,0,287.472052546,0,288.403889399,0,285.40557
01/01/15 11:30 PM,0,0,287.236157814,0,288.197592559,0,285.211964148
01/02/15 12:00 AM,0,0,287.015674294,0,287.991063384,0,285.032167125
01/02/15 12:30 AM,0,0,286.775593287,0,287.785186999,0,284.83156998
01/02/15 01:00 AM,0,0,286.498542713,0,287.577609709,0,284.592977432
01/02/15 01:30 AM,0,0,286.239647882,0,287.365133693,0,284.371996409
01/02/15 02:00 AM,0,0,286.035555481,0,287.150290814,0,284.205925032
01/02/15 02:30 AM,0,0,285.843236291,0,286.938823833,0,284.051403725
01/02/15 03:00 AM,0,0,285.636225263,0,286.732385803,0,283.880720374
01/02/15 03:30 AM,0,0,285.438831322,0,286.529710466,0,283.717913845
01/02/15 04:00 AM,0,0,285.269244465,0,286.331210637,0,283.581470944
01/02/15 04:30 AM,0,0,285.126794377,0,286.139295249,0,283.47297492
01/02/15 05:00 AM,0,0,285.013237522,0,285.956978796,0,283.394941049
01/02/15 05:30 AM,0,0,284.898272259,0,285.786611065,0,283.314875888
01/02/15 06:00 AM,0,0,284.759646004,0,285.62581414,0,283.208844321
01/02/15 06:30 AM,0,0,284.627638053,0,285.471363839,0,283.107706608
01/02/15 07:00 AM,0,0,284.521302234,0,285.323814805,0,283.031213781
01/02/15 07:30 AM,0,0,284.7737769,0,285.22240003,0,283.291811392
01/02/15 08:00 AM,0,0,285.312347461,0,285.205624209,0,283.823348221
01/02/15 08:30 AM,0,0,285.641836415,0,285.237463801,0,284.168008237
01/02/15 09:00 AM,0,0,285.900310281,0,285.30371262,0,284.441443295
01/02/15 09:30 AM,0,0,286.204417348,0,285.41750501,0,284.713598025
01/02/15 10:00 AM,0,0,286.49691102,0,285.572378237,0,284.964091406
01/02/15 10:30 AM,0,0,286.759867823,0,285.757316021,0,285.220756352
01/02/15 11:00 AM,0,0,287.017243338,0,285.962541575,0,285.491534976
01/02/15 11:30 AM,0,0,287.212203337,0,286.181168826,0,285.717144286
01/02/15 12:00 PM,0,0,287.359776802,0,286.406570985,0,285.910333069
01/02/15 12:30 PM,0,0,287.614152405,0,286.63410141,0,286.227657079
01/02/15 01:00 PM,0,0,287.94617795,0,286.867598018,0,286.635933746
01/02/15 01:30 PM,0,0,288.150664896,0,287.110528249,0,286.937458581
01/02/15 02:00 PM,0,0,288.130070382,0,287.346952174,0,287.035602873
01/02/15 02:30 PM,0,0,288.054113232,0,287.555470631,0,287.080423152
01/02/15 03:00 PM,0,0,287.962247121,0,287.723682744,0,287.09081828
01/02/15 03:30 PM,0,0,287.850482148,0,287.849346036,0,287.067144856
01/02/15 04:00 PM,0,0,287.740433944,0,287.927333944,0,287.041141443
01/02/15 04:30 PM,0,0,287.171123106,0,287.925556687,0,286.640249828
01/02/15 05:00 PM,0,0,286.410184579,0,287.829076782,0,285.849983023
01/02/15 05:30 PM,0,0,285.972580423,0,287.642981231,0,285.291702988
01/02/15 06:00 PM,0,0,285.69738907,0,287.416248647,0,284.970398692
01/02/15 06:30 PM,0,0,285.49743545,0,287.177603536,0,284.755637989
01/02/15 07:00 PM,0,0,285.363381672,0,286.945470672,0,284.622203057
01/02/15 07:30 PM,0,0,285.235333352,0,286.730339209,0,284.501764427
01/02/15 08:00 PM,0,0,285.098172594,0,286.532280053,0,284.375093329
01/02/15 08:30 PM,0,0,284.979441452,0,286.347117697,0,284.268513693
01/02/15 09:00 PM,0,0,284.877681272,0,286.173362789,0,284.179957842
01/02/15 09:30 PM,0,0,284.78291135,0,286.011083791,0,284.098448981
01/02/15 10:00 PM,0,0,284.696190224,0,285.859915524,0,284.02445033
01/02/15 10:30 PM,0,0,284.58192568,0,285.718139023,0,283.921900657
01/02/15 11:00 PM,0,0,284.430924576,0,285.581265491,0,283.779954492
01/02/15 11:30 PM,0,0,284.267902782,0,285.444721383,0,283.626557212
01/03/15 12:00 AM,0,0,284.097644455,0,285.306040287,0,283.469768355
01/03/15 12:30 AM,0,0,283.941141842,0,285.164944566,0,283.326991079
01/03/15 01:00 AM,0,0,283.802683744,0,285.023119823,0,283.201052455
01/03/15 01:30 AM,0,0,283.668448693,0,284.882487126,0,283.079264384
01/03/15 02:00 AM,0,0,283.532892506,0,284.743743369,0,282.956470133
01/03/15 02:30 AM,0,0,283.40745503,0,284.606958566,0,282.843662017
01/03/15 03:00 AM,0,0,283.299833992,0,284.473041188,0,282.748404378
01/03/15 03:30 AM,0,0,283.187863597,0,284.343084335,0,282.648348119
01/03/15 04:00 AM,0,0,283.056055407,0,284.216139987,0,282.527730233
01/03/15 04:30 AM,0,0,282.905886628,0,284.089604999,0,282.388216297
01/03/15 05:00 AM,0,0,282.738398386,0,283.960974214,0,282.231008273
01/03/15 05:30 AM,0,0,282.559032269,0,283.82840191,0,282.061667791
01/03/15 06:00 AM,0,0,282.373689607,0,283.690955939,0,281.886168227
01/03/15 06:30 AM,0,0,282.192363627,0,283.549879106,0,281.712742827
01/03/15 07:00 AM,0,0,282.029563023,0,283.407954091,0,281.548008768
01/03/15 07:30 AM,0,0,282.4274808,0,283.314935522,0,281.736627528
01/03/15 08:00 AM,0,0,283.296440529,0,283.342263481,0,282.228525917
01/03/15 08:30 AM,0,0,283.797106473,0,283.433330074,0,282.559680111
01/03/15 09:00 AM,0,0,284.116536943,0,283.568449818,0,282.750309049
01/03/15 09:30 AM,0,0,284.408090448,0,283.747535166,0,282.982308275
01/03/15 10:00 AM,0,0,284.709445383,0,283.961893489,0,283.265767635
01/03/15 10:30 AM,0,0,284.986748978,0,284.201301558,0,283.559344112
01/03/15 11:00 AM,0,0,285.20954093,0,284.451802273,0,283.838440383
01/03/15 11:30 AM,0,0,285.352404037,0,284.701324707,0,284.067734238
01/03/15 12:00 PM,0,0,285.424570749,0,284.93869032,0,284.247811159
01/03/15 12:30 PM,0,0,285.591911808,0,285.161500994,0,284.53735977
01/03/15 01:00 PM,0,0,285.843430075,0,285.381081858,0,284.922958265
01/03/15 01:30 PM,0,0,286.024284369,0,285.605709445,0,285.254832037
01/03/15 02:00 PM,0,0,286.101905345,0,285.830336588,0,285.503565014
01/03/15 02:30 PM,0,0,286.132870253,0,286.04294703,0,285.709085513
01/03/15 03:00 PM,0,0,286.127132842,0,286.234936891,0,285.865225256
01/03/15 03:30 PM,0,0,286.071777055,0,286.39397827,0,285.97842682
01/03/15 04:00 PM,0,0,285.955995896,0,286.510962242,0,286.041812163
01/03/15 04:30 PM,0,0,285.386905928,0,286.555243475,0,285.804559719
01/03/15 05:00 PM,0,0,284.614063441,0,286.499499567,0,285.02663762
01/03/15 05:30 PM,0,0,284.159722779,0,286.332354229,0,284.263416066
01/03/15 06:00 PM,0,0,283.903404536,0,286.098248433,0,283.86348568
01/03/15 06:30 PM,0,0,283.697540943,0,285.841896729,0,283.593902366
01/03/15 07:00 PM,0,0,283.515798538,0,285.588626183,0,283.382842226
01/03/15 07:30 PM,0,0,283.335513523,0,285.3471707,0,283.189390228
01/03/15 08:00 PM,0,0,283.158848275,0,285.118273503,0,283.007767523
01/03/15 08:30 PM,0,0,282.999421995,0,284.900046625,0,282.847904496
01/03/15 09:00 PM,0,0,282.849015782,0,284.692358305,0,282.697980475
01/03/15 09:30 PM,0,0,282.697542997,0,284.494561209,0,282.549518062
01/03/15 10:00 PM,0,0,282.544424917,0,284.305107753,0,282.399388151
01/03/15 10:30 PM,0,0,282.39628298,0,284.12187282,0,282.250783277
01/03/15 11:00 PM,0,0,282.245313634,0,283.943680692,0,282.104263344
01/03/15 11:30 PM,0,0,282.101238937,0,283.770588834,0,281.963357395
01/04/15 12:00 AM,0,0,293.15,0,293.15,0,293.15
01/04/15 12:30 AM,0,0,291.018567177,0,293.207838992,0,291.018592829
01/04/15 01:00 AM,0,0,290.504008052,0,293.018167707,0,290.504290167
01/04/15 01:30 AM,0,0,290.132678204,0,292.737515212,0,290.133355192
01/04/15 02:00 AM,0,0,289.819040442,0,292.436190035,0,289.820030436
01/04/15 02:30 AM,0,0,289.53330826,0,292.133827445,0,289.534344379
01/04/15 03:00 AM,0,0,289.283797301,0,291.838821142,0,289.284766523
01/04/15 03:30 AM,0,0,289.039048201,0,291.550648619,0,289.040183235
01/04/15 04:00 AM,0,0,288.788308147,0,291.268948228,0,288.789610627
01/04/15 04:30 AM,0,0,288.538314345,0,290.992364887,0,288.539569777
01/04/15 05:00 AM,0,0,288.306653408,0,290.720957857,0,288.307836815
01/04/15 05:30 AM,0,0,288.083608267,0,290.455610307,0,288.084728564
01/04/15 06:00 AM,0,0,287.864987695,0,290.196912146,0,287.866037443
01/04/15 06:30 AM,0,0,287.663308331,0,289.946088458,0,287.664275875
01/04/15 07:00 AM,0,0,287.504470268,0,289.706957041,0,287.497675088
01/04/15 07:30 AM,0,0,287.834166227,0,289.531451082,0,287.634575236
01/04/15 08:00 AM,0,0,288.526169078,0,289.484472724,0,287.995612279
01/04/15 08:30 AM,0,0,288.814707637,0,289.505360638,0,288.211361111
01/04/15 09:00 AM,0,0,289.001083021,0,289.550226595,0,288.36634983
01/04/15 09:30 AM,0,0,289.194947326,0,289.624577774,0,288.540402513
01/04/15 10:00 AM,0,0,289.405290392,0,289.72630179,0,288.728575068
01/04/15 10:30 AM,0,0,289.617403044,0,289.851444106,0,288.933167878
01/04/15 11:00 AM,0,0,289.815614023,0,289.996493231,0,289.144337285
01/04/15 11:30 AM,0,0,289.943631529,0,290.155402079,0,289.31606023
01/04/15 12:00 PM,0,0,289.99781195,0,290.31512769,0,289.444445049
01/04/15 12:30 PM,0,0,290.141470858,0,290.469346529,0,289.682129908
01/04/15 01:00 PM,0,0,290.383729931,0,290.62192274,0,290.016603536
01/04/15 01:30 PM,0,0,290.540190885,0,290.776656925,0,290.263488886
01/04/15 02:00 PM,0,0,290.587119007,0,290.927430506,0,290.408021725
01/04/15 02:30 PM,0,0,290.5539207,0,291.062766381,0,290.477267926
01/04/15 03:00 PM,0,0,290.422534955,0,291.170861377,0,290.459135614
01/04/15 03:30 PM,0,0,290.232382536,0,291.240477023,0,290.377338515
01/04/15 04:00 PM,0,0,290.035722646,0,291.265037364,0,290.254556618
01/04/15 04:30 PM,0,0,289.435671652,0,291.211677892,0,289.755255438
01/04/15 05:00 PM,0,0,288.630289259,0,291.057836757,0,288.947051207
01/04/15 05:30 PM,0,0,288.096620965,0,290.799214812,0,288.25137723
01/04/15 06:00 PM,0,0,287.729045176,0,290.48415529,0,287.813196192
01/04/15 06:30 PM,0,0,287.402418071,0,290.15271556,0,287.453763486
01/04/15 07:00 PM,0,0,287.095793828,0,289.825949854,0,287.132626901
01/04/15 07:30 PM,0,0,286.802032434,0,289.506258664,0,286.831265477
01/04/15 08:00 PM,0,0,286.531293839,0,289.193311988,0,286.556044573
01/04/15 08:30 PM,0,0,286.297412988,0,288.888913265,0,286.318724141
01/04/15 09:00 PM,0,0,286.085546851,0,288.596478351,0,286.103119749
01/04/15 09:30 PM,0,0,285.874714139,0,288.317014657,0,285.898688751
01/04/15 10:00 PM,0,0,285.634921838,0,288.04794811,0,285.65193271
01/04/15 10:30 PM,0,0,285.3851758,0,287.785137629,0,285.407376657
01/04/15 11:00 PM,0,0,285.117470809,0,287.524716914,0,285.138474249
01/04/15 11:30 PM,0,0,284.840340538,0,287.264202616,0,284.862187235
01/05/15 12:00 AM,0,0,284.561923823,0,287.002178965,0,284.588353345
