Time,halTdb,wesTdb,easTdb
0.0,293.15,293.15,293.15
300.0,293.177252976,291.7619008,291.761900804
600.0,293.192503622,290.949340169,290.949340362
900.0,293.193084041,290.491220881,290.491222437
1200.0,293.179298363,290.211670714,290.211676911
1500.0,293.152740566,290.019184795,290.019201716
1800.0,293.11544847,289.869932224,289.869968759
2100.0,293.069440604,289.743418283,289.743485582
2400.0,293.016500716,289.630132092,289.630242627
2700.0,292.958110934,289.525480336,289.525646892
3000.0,292.89546826,289.427095447,289.427330177
3300.0,292.829514413,289.333639496,289.333953211
3600.0,292.760979493,289.244272522,289.244674236
3900.0,292.690420495,289.158411483,289.158908166
4200.0,292.618263506,289.077840561,289.078437027
4500.0,292.544770567,289.001132886,289.001831872
4800.0,292.470336803,288.927497843,288.928300234
5100.0,292.395526634,288.85644343,288.857348429
5400.0,292.32068641,288.787634509,288.788639843
5700.0,292.24603208,288.720821819,288.721923961
6000.0,292.171700299,288.655807057,288.657001445
6300.0,292.097776528,288.592425013,288.593706257
6600.0,292.024312902,288.530534012,288.531896078
6900.0,291.951339991,288.470010432,288.471446803
7200.0,291.878874596,288.410745279,288.412249089
7500.0,291.806924892,288.352641856,288.354205988
7800.0,291.735496017,288.296650533,288.298267789
8100.0,291.664599494,288.242209624,288.243872502
8400.0,291.594243387,288.189016064,288.190716843
8700.0,291.524432932,288.136895501,288.138626188
9000.0,291.455171203,288.085738413,288.087490549
9300.0,291.386459686,288.0354696,288.037233848
9600.0,291.318298714,287.986034203,287.987799435
9900.0,291.250687788,287.937393014,287.939143775
10200.0,291.183625811,287.889529219,287.891235668
10500.0,291.117111803,287.842395343,287.844064964
10800.0,291.051142884,287.795848684,287.797578093
11100.0,290.985716579,287.749829147,287.751640176
11400.0,290.920845562,287.699486367,287.70137242
11700.0,290.856467938,287.647220502,287.649169027
12000.0,290.792491879,287.594019679,287.596019708
12300.0,290.728886298,287.540372196,287.542413975
12600.0,290.665627336,287.4865537,287.488628838
12900.0,290.602693302,287.432710347,287.434811728
13200.0,290.540065722,287.378918255,287.38103982
13500.0,290.47772931,287.325217334,287.327353872
13800.0,290.415671521,287.271628968,287.27377595
14100.0,290.353882044,287.218165025,287.220318482
14400.0,290.29235233,287.164832376,287.166988805
14700.0,290.231075207,287.111635172,287.113791464
15000.0,290.170082233,287.061258087,287.063411677
15300.0,290.10934817,287.012515096,287.014664068
15600.0,290.048906358,286.964788119,286.96693053
15900.0,289.98877714,286.917728325,286.919862292
16200.0,289.928974503,286.871154643,286.873278385
16500.0,289.869508134,286.824972783,286.82708464
16800.0,289.810384501,286.779131816,286.781230255
17100.0,289.751607623,286.733602395,286.735686009
17400.0,289.693179646,286.68836604,286.690433539
17700.0,289.635101302,286.643409894,286.645460094
18000.0,289.57737225,286.598724139,286.600755958
18300.0,289.519991338,286.55430073,286.556313176
18600.0,289.46296969,286.508387861,286.510379893
18900.0,289.406286852,286.46181265,286.463783314
19200.0,289.349916172,286.414962977,286.416911464
19500.0,289.293848472,286.368024646,286.369950258
19800.0,289.238059259,286.321087309,286.322989474
20100.0,289.182532851,286.274195425,286.276073667
20400.0,289.127255077,286.227371815,286.229225747
20700.0,289.072218443,286.180629819,286.182459124
21000.0,289.017416369,286.133977496,286.135781927
21300.0,288.962843029,286.087419826,286.089199198
21600.0,288.90849321,286.040959962,286.042714148
21900.0,288.854363036,285.994600358,285.996329284
22200.0,288.800438746,285.948201978,285.952127151
22500.0,288.746796737,285.901905027,285.909555514
22800.0,288.693472629,285.855786996,285.8682388
23100.0,288.640495336,285.80988932,285.827960043
23400.0,288.587886346,285.764232489,285.788594857
23700.0,288.535661845,285.718826533,285.750066511
24000.0,288.483834009,285.673676307,285.712322505
24300.0,288.432405539,285.628780464,285.675342903
24600.0,288.381388667,285.584144322,285.639068315
24900.0,288.330793004,285.53977038,285.603455546
25200.0,288.280619419,285.495660663,285.568419298
25500.0,288.259454611,285.451811425,285.535087199
25800.0,288.234360488,285.414742605,285.564116025
26100.0,288.207129618,285.381325866,285.640490261
26400.0,288.179711257,285.3499237,285.757389054
26700.0,288.153747355,285.319675029,285.911884587
27000.0,288.130288074,285.289947863,286.106648647
27300.0,288.109858237,285.263105767,286.281573576
27600.0,288.0924227,285.239173402,286.433386179
27900.0,288.077788828,285.217423438,286.577368057
28200.0,288.065783191,285.19742231,286.721929056
28500.0,288.056254649,285.178928942,286.87092582
28800.0,288.049048865,285.161816535,287.025915578
29100.0,288.045205792,285.563568704,287.601801777
29400.0,288.04560364,285.774065422,287.988137569
29700.0,288.049695426,285.891552483,288.288652479
30000.0,288.058828081,285.961739951,288.550178249
30300.0,288.073829391,286.010094661,288.833307696
30600.0,288.095038484,286.044374299,289.098397463
30900.0,288.122252903,286.071213885,289.356859399
31200.0,288.155148696,286.094143177,289.615570955
31500.0,288.19336689,286.115080805,289.87613536
31800.0,288.236493756,286.135139048,290.135986682
32100.0,288.284137641,286.154923165,290.393473546
32400.0,288.335906191,286.174788527,290.647440374
32700.0,288.391497911,286.195357155,290.904312247
33000.0,288.450668687,286.219573096,291.161634915
33300.0,288.512933504,286.244618894,291.388701362
33600.0,288.577561047,286.270616666,291.593337563
33900.0,288.643951,286.29760738,291.780248901
34200.0,288.711599216,286.325651874,291.952115253
34500.0,288.780080779,286.354775177,292.11032799
34800.0,288.849030234,286.384977798,292.25550429
35100.0,288.918123442,286.416249615,292.387805904
35400.0,288.987065196,286.448577866,292.507156554
35700.0,289.055587445,286.481948749,292.613970514
36000.0,289.123449767,286.516351044,292.708593298
36300.0,289.190568954,286.552988111,292.802244745
36600.0,289.256576146,286.589362188,292.859433207
36900.0,289.320997663,286.627018226,292.899598141
37200.0,289.38357945,286.66576704,292.924464731
37500.0,289.444128347,286.705500882,292.935255411
37800.0,289.50249852,286.746155198,292.93292798
38100.0,289.558581303,286.787688103,292.918401692
38400.0,289.612295384,286.830067604,292.893377212
38700.0,289.663586188,286.87327124,292.859081531
39000.0,289.712429338,286.917281967,292.816266061
39300.0,289.758831822,286.962085132,292.765507432
39600.0,289.802831018,287.007667268,292.70736001
39900.0,289.844492513,287.054015691,292.642406815
40200.0,289.883850693,287.100285252,292.56455277
40500.0,289.920932455,287.146669912,292.47995797
40800.0,289.955831247,287.193310786,292.394472435
41100.0,289.988652381,287.240257882,292.309176761
41400.0,290.019519038,287.287540088,292.227025266
41700.0,290.048594143,287.335172843,292.151680841
42000.0,290.076083467,287.383162582,292.086251313
42300.0,290.102150787,287.429715738,292.026514685
42600.0,290.127006889,287.477021397,291.982128727
42900.0,290.150936641,287.524933705,291.950688475
43200.0,290.174174998,287.573257396,291.92887059
43500.0,290.196767607,287.574545833,291.867004617
43800.0,290.218685041,287.594831459,291.828604917
44100.0,290.240064641,287.628303791,291.8038757
44400.0,290.261072851,287.672213579,291.787523407
44700.0,290.281883485,287.724943517,291.776642957
45000.0,290.302666829,287.784975385,291.769562115
45300.0,290.323432445,287.839012603,291.761908783
45600.0,290.344211033,287.898554484,291.757537738
45900.0,290.36511397,287.96003282,291.7555764
46200.0,290.386211076,288.021470397,291.755487438
46500.0,290.40754164,288.081874786,291.7569259
46800.0,290.429119134,288.140408186,291.75965538
47100.0,290.451296418,288.301243855,291.86446837
47400.0,290.474429572,288.426844394,291.925635909
47700.0,290.498447748,288.532966736,291.96320457
48000.0,290.523232333,288.62636425,291.98778321
48300.0,290.548657934,288.711183574,292.005026327
48600.0,290.574604372,288.790135529,292.018029161
48900.0,290.600963228,288.864782109,292.028485484
49200.0,290.627639245,288.936060521,292.03733472
49500.0,290.654548969,289.004549347,292.045104631
49800.0,290.681618752,289.070600422,292.052094818
50100.0,290.708782819,289.134422912,292.058477561
50400.0,290.735981596,289.196137058,292.064353613
50700.0,290.763160352,289.255808764,292.069783273
51000.0,290.790228251,289.308969384,292.068945092
51300.0,290.817081698,289.357183248,292.064051609
51600.0,290.843639443,289.401323225,292.056252381
51900.0,290.869820303,289.441829888,292.046263057
52200.0,290.895550797,289.478990794,292.03452965
52500.0,290.920764708,289.512984809,292.021325486
52800.0,290.945402031,289.543914633,292.006819765
53100.0,290.96940783,289.57183194,291.991119914
53400.0,290.992731263,289.596755663,291.974296501
53700.0,291.015324767,289.618684455,291.956397728
54000.0,291.037143329,289.637596763,291.937457851
54300.0,291.058143219,289.653402126,291.917501944
54600.0,291.078272154,289.66646214,291.899052681
54900.0,291.097493975,289.676578093,291.8813405
55200.0,291.115773469,289.683628862,291.863938372
55500.0,291.133075352,289.687548128,291.84661373
55800.0,291.149364397,289.688306751,291.829245213
56100.0,291.164605846,289.685899579,291.811776375
56400.0,291.178765728,289.68033536,291.794189907
56700.0,291.191811032,289.671627915,291.776493284
57000.0,291.203709658,289.659780284,291.758710854
57300.0,291.214432069,289.645087093,291.740879911
57600.0,291.22392877,289.623851362,291.723047602
57900.0,291.232094129,289.593449996,291.705273524
58200.0,291.238954181,289.572693287,291.688616431
58500.0,291.244724002,289.560237871,291.672803547
58800.0,291.249621728,289.555731938,291.657719969
59100.0,291.253814442,289.559243406,291.643279951
59400.0,291.257450689,289.568431028,291.629577203
59700.0,291.26039476,289.55347577,291.61790596
60000.0,291.26240763,289.522903619,291.607886559
60300.0,291.263308364,289.483251982,291.59926062
60600.0,291.263005096,289.439875743,291.591950763
60900.0,291.261468085,289.397290009,291.585933939
61200.0,291.258763729,289.362613079,291.581084613
61500.0,291.253828127,288.857406576,291.112157478
61800.0,291.245455272,288.531177387,290.818597624
62100.0,291.233725915,288.322504688,290.634058317
62400.0,291.218644964,288.181839499,290.510115305
62700.0,291.200477903,288.079899652,290.419460638
63000.0,291.179601933,287.999703179,290.346782318
63300.0,291.156409729,287.932043241,290.284026076
63600.0,291.131266325,287.871963205,290.22698057
63900.0,291.104489886,287.816774035,290.173431383
64200.0,291.076350111,287.764957414,290.122168957
64500.0,291.047071038,287.715633935,290.072520883
64800.0,291.016836632,287.668265206,290.024093746
65100.0,290.985797717,287.622499427,289.976642337
65400.0,290.954058007,287.569657871,289.919463864
65700.0,290.92162429,287.514231747,289.858326547
66000.0,290.888519292,287.458427868,289.79608324
66300.0,290.854769714,287.403287914,289.734094426
66600.0,290.820406694,287.349260618,289.672967108
66900.0,290.785465091,287.296497322,289.612932952
67200.0,290.749982219,287.245004934,289.554041784
67500.0,290.713996538,287.194724409,289.49625972
67800.0,290.677546542,287.145570348,289.439518119
68100.0,290.640669907,287.09745041,289.383737346
68400.0,290.603402887,287.050274377,289.328837805
68700.0,290.536748921,287.003905063,289.274699163
69000.0,290.475419527,286.965837064,289.229420187
69300.0,290.417982793,286.932424404,289.188972282
69600.0,290.363250611,286.901922315,289.151451168
69900.0,290.310721564,286.873365618,289.115847354
70200.0,290.259919093,286.846206391,289.081595169
70500.0,290.210508433,286.820135383,289.048382679
70800.0,290.162439022,286.794970014,289.016030701
71100.0,290.115615709,286.770595311,288.984429587
71400.0,290.06991865,286.746933426,288.953507066
71700.0,290.025232929,286.723927492,288.923211524
72000.0,289.98145652,286.701533072,288.893503322
72300.0,289.938398404,286.655138498,288.839961851
72600.0,289.895918137,286.617525609,288.796117633
72900.0,289.853946128,286.584915791,288.757730446
73200.0,289.812448773,286.555314575,288.722605053
73500.0,289.771328937,286.527748093,288.68982548
73800.0,289.730599956,286.501870713,288.658981514
74100.0,289.690262596,286.477523831,288.629918312
74400.0,289.650321078,286.454710534,288.602669251
74700.0,289.610785129,286.433550887,288.577399727
75000.0,289.57167043,286.414258241,288.554380321
75300.0,289.53299867,286.397124897,288.5339695
75600.0,289.494798466,286.382530825,288.516626143
75900.0,289.457107538,286.371022611,288.503013961
76200.0,289.419974497,286.34553919,288.471223665
76500.0,289.383115836,286.313680233,288.431149089
76800.0,289.346518564,286.279246265,288.387704081
77100.0,289.310108313,286.244210529,288.34340838
77400.0,289.273828705,286.209507416,288.299442298
