Time,weaCelHei,weaCloTim,weaHDifHor,weaHDirNor,weaHGloHor,weaHHorIR,weaIAveHor,weaIDifHor,weaIDirNor,weaNOpa,weaNTot,weaPAtm,weaRelHum,weaSolTim,weaSolZen,weaTBlaSky,weaTDewPoi,weaTDryBul,weaTWetBul,weaWinDir,weaWinSpe,weaZLum,SimTime
2015-01-01 06:00:00+00:00,2740.0,0.0,0.0001,0.0,0.0,218.0,0.0,0.0,0.0,0.9,0.9,101325.0,0.73,282.787601061,2.81134335864,249.155667253,257.05,260.95,260.130571836,4.71238898038,2.6,0.0,0.0
2015-01-01 07:00:00+00:00,2740.0,3600.0,0.0001,0.0,0.0,222.5,0.0,0.0,0.0,0.9,0.9,101325.0,0.73,3881.66533739,2.73639022457,249.155667253,257.05,260.95,260.130571836,4.71238898038,2.6,0.0,3600.0
2015-01-01 08:00:00+00:00,1680.0,7200.0,0.0001,0.0,0.0,228.5,0.0,0.0,0.0,1.0,1.0,101325.0,0.73,7480.54352815,2.58176898247,251.507827004,257.55,261.45,260.60392586,4.36332312999,2.6,0.0,7200.0
2015-01-01 09:00:00+00:00,1400.0,10800.0,0.0001,0.0,0.0,230.0,0.0,0.0,0.0,1.0,1.0,101325.0,0.73,11079.4221751,2.39766897836,252.235855202,258.15,262.05,261.171225362,4.18879020479,2.1,0.0,10800.0
2015-01-01 10:00:00+00:00,1400.0,14400.0,0.0001,0.0,0.0,231.0,0.0,0.0,0.0,1.0,1.0,101325.0,0.73,14678.3012802,2.20435926398,252.235855202,258.15,262.05,261.171225362,4.01425727959,2.6,0.0,14400.0
2015-01-01 11:00:00+00:00,1400.0,18000.0,0.0001,0.0,0.0,232.0,0.0,0.0,0.0,1.0,1.0,101325.0,0.73,18277.1808451,2.01058359582,252.867641162,258.75,262.55,261.643373051,4.18879020479,2.6,0.0,18000.0
2015-01-01 12:00:00+00:00,1830.0,21600.0,0.0001,0.0,0.0,232.0,0.0,0.0,0.0,1.0,1.0,101325.0,0.73,21876.0608716,1.8217412439,252.867641162,258.75,262.55,261.643373051,3.66519142919,2.6,0.0,21600.0
2015-01-01 13:00:00+00:00,1680.0,25200.0,6.79000387579,11.0,6.0,228.0,636.0,613.0,436.5,1.0,1.0,101325.0,0.77,25474.9413616,1.64267674352,252.992596832,259.25,262.55,261.778624384,3.14159265359,3.1,102.5,25200.0
2015-01-01 14:00:00+00:00,2130.0,28800.0,44.2811438914,209.5,63.5,215.5,6416.0,4037.5,14457.5,0.8,0.8,101325.0,0.77,29073.8223168,1.47893038314,250.616708792,259.85,263.15,262.349639807,3.14159265359,2.6,516.5,28800.0
2015-01-01 15:00:00+00:00,2000.0,32400.0,65.7452250596,492.0,179.5,210.5,18269.0,8455.5,39649.5,0.011,0.011,101325.0,0.71,32672.7037391,1.33747626661,245.967851909,259.85,264.25,263.169373377,3.31612557879,3.1,1075.0,32400.0
2015-01-01 16:00:00+00:00,2000.0,36000.0,77.5988457997,637.5,292.5,217.5,30275.0,10619.5,57991.0,0.011,0.2,101325.0,0.6,36271.5856303,1.22696158741,248.01564481,259.85,266.45,264.747948398,3.83972435439,5.7,1451.5,36000.0
2015-01-01 17:00:00+00:00,2000.0,39600.0,109.371068646,604.5,352.5,228.5,36799.0,14015.5,57596.0,0.011,0.011,101325.0,0.63,39870.4679921,1.15687957315,250.133017709,262.05,268.15,266.421598179,3.66519142919,5.7,2222.0,39600.0
2015-01-01 18:00:00+00:00,2000.0,43200.0,155.684073403,336.0,297.5,246.0,31600.0,17896.5,32728.5,0.2,0.6,101325.0,0.63,43469.3508263,1.1350675336,254.03299262,263.75,269.85,267.957521693,3.83972435439,5.7,3416.0,43200.0
2015-01-01 19:00:00+00:00,6710.0,46800.0,164.975090618,102.5,205.5,261.5,22489.5,18429.5,10067.5,0.8,1.0,101325.0,0.63,47068.2341348,1.1643311662,259.290544867,264.85,270.95,268.94732571,4.01425727959,5.2,4143.0,46800.0
2015-01-01 20:00:00+00:00,6710.0,50400.0,125.193446596,73.5,149.0,267.0,16403.0,14329.5,6698.0,0.9,1.0,101325.0,0.61,50667.1179194,1.24094889804,261.857218654,265.35,272.05,269.816503128,4.53785605519,4.1,3186.5,50400.0
2015-01-01 21:00:00+00:00,3660.0,54000.0,69.2911724917,64.5,83.0,271.5,9147.5,7823.5,5443.0,0.9,0.9,101325.0,0.64,54266.0021818,1.35662274816,262.004784944,265.95,272.05,269.992819866,4.53785605519,3.1,1569.5,54000.0
2015-01-01 22:00:00+00:00,3660.0,57600.0,25.2602748307,18.0,26.5,276.0,2647.0,2454.0,1317.5,1.0,1.0,101325.0,0.69,57864.8869239,1.50186813851,264.111243378,267.05,272.05,270.284993296,3.66519142919,1.5,541.5,57600.0
2015-01-01 23:00:00+00:00,3660.0,61200.0,2.5,0.0,2.5,274.5,0.0,0.0,0.0,1.0,1.0,101325.0,0.69,61463.7721474,1.6682653242,264.111243378,267.05,272.05,270.284993296,0.0,0.0,0.0,61200.0
2015-01-02 00:00:00+00:00,2440.0,64800.0,0.0001,0.0,0.0,272.0,0.0,0.0,0.0,1.0,1.0,101325.0,0.72,65062.6578541,1.8490793394,263.528752123,267.05,271.45,269.905497302,0.0,0.0,0.0,64800.0
2015-01-02 01:00:00+00:00,2440.0,68400.0,0.0001,0.0,0.0,273.5,0.0,0.0,0.0,1.0,1.0,101325.0,0.75,68661.5440458,2.03892156508,263.043342743,267.05,270.95,269.60763627,2.79252680319,2.1,0.0,68400.0
2015-01-02 02:00:00+00:00,3050.0,72000.0,0.0001,0.0,0.0,275.5,0.0,0.0,0.0,1.0,1.0,101325.0,0.72,72260.4307243,2.23295066422,264.233745174,267.55,272.05,270.459288245,2.79252680319,2.6,0.0,72000.0
2015-01-02 03:00:00+00:00,3050.0,75600.0,0.0001,0.0,0.0,276.0,0.0,0.0,0.0,1.0,1.0,101325.0,0.78,75859.3178914,2.42548927738,263.797137185,268.15,271.45,270.241517534,0.0,0.0,0.0,75600.0
2015-01-02 04:00:00+00:00,3050.0,79200.0,0.0001,0.0,0.0,265.5,0.0,0.0,0.0,1.0,1.0,101325.0,0.75,79458.205549,2.60677576805,264.380221666,268.15,272.05,270.632829117,2.79252680319,2.6,0.0,79200.0
2015-01-02 05:00:00+00:00,3050.0,82800.0,0.0001,0.0,0.0,250.5,0.0,0.0,0.0,0.6,0.6,101325.0,0.78,83057.0936986,2.75334029033,258.79200998,268.15,271.45,270.241517534,3.14159265359,2.6,0.0,82800.0
2015-01-02 06:00:00+00:00,2000.0,86400.0,0.0001,0.0,0.0,242.0,0.0,0.0,0.0,0.3,0.3,101325.0,0.72,86655.9823423,2.81008867868,256.965424979,267.05,271.45,269.905497302,3.31612557879,2.6,0.0,86400.0
2015-01-02 07:00:00+00:00,2000.0,90000.0,0.0001,0.0,0.0,240.0,0.0,0.0,0.0,0.2,0.2,101325.0,0.85,90254.8714817,2.73618548065,254.256288918,267.05,269.25,268.51600848,2.96705972839,2.1,0.0,90000.0
2015-01-02 08:00:00+00:00,2000.0,93600.0,0.0001,0.0,0.0,241.0,0.0,0.0,0.0,0.3,0.4,101325.0,0.78,93853.7611186,2.58213616162,255.924120992,267.05,270.35,269.206132063,3.49065850399,3.1,0.0,93600.0
2015-01-02 09:00:00+00:00,2000.0,97200.0,0.0001,0.0,0.0,244.0,0.0,0.0,0.0,0.2,0.2,101325.0,0.78,97452.6512548,2.39826017558,254.680533829,266.45,269.85,268.734966055,3.14159265359,2.6,0.0,97200.0
2015-01-02 10:00:00+00:00,3050.0,100800.0,0.0001,0.0,0.0,256.0,0.0,0.0,0.0,0.6,0.8,101325.0,0.78,101051.541892,2.20500566798,257.481078158,267.05,270.35,269.206132063,2.09439510239,2.1,0.0,100800.0
2015-01-02 11:00:00+00:00,3050.0,104400.0,0.0001,0.0,0.0,263.0,0.0,0.0,0.0,0.8,1.0,101325.0,0.72,104650.433032,2.01118960587,261.001361974,267.55,272.05,270.459288245,3.31612557879,3.6,0.0,104400.0
2015-01-02 12:00:00+00:00,7620.0,108000.0,0.0001,0.0,0.0,270.5,0.0,0.0,0.0,0.8,1.0,101325.0,0.72,108249.324677,1.82223724753,261.001361974,267.55,272.05,270.459288245,3.66519142919,3.1,0.0,108000.0
2015-01-02 13:00:00+00:00,7620.0,111600.0,4.0,0.0,4.0,278.0,500.0,500.0,0.0,1.0,1.0,101325.0,0.69,111848.216828,1.64299937642,264.719379699,267.55,272.55,270.741603808,3.49065850399,2.6,150.0,111600.0
2015-01-02 14:00:00+00:00,2440.0,115200.0,26.7708656158,2.5,27.0,280.0,3100.0,3100.0,50.0,1.0,1.0,101325.0,0.69,115447.109488,1.47901376407,264.719379699,267.55,272.55,270.741603808,3.31612557879,2.6,965.0,115200.0
2015-01-02 15:00:00+00:00,2440.0,118800.0,83.8057143084,3.0,84.5,283.0,9400.0,9350.0,100.0,1.0,1.0,101325.0,0.69,119046.002657,1.33725047088,265.449209881,268.15,273.15,271.288939008,3.14159265359,3.6,2900.0,118800.0
2015-01-02 16:00:00+00:00,2440.0,122400.0,127.662334421,1.0,128.0,286.5,14350.0,14300.0,100.0,1.0,1.0,101325.0,0.67,122644.896339,1.22636062221,266.032294362,268.15,273.75,271.708738385,2.79252680319,3.6,4640.0,122400.0
2015-01-02 17:00:00+00:00,2440.0,126000.0,153.89530502,1.5,154.5,289.0,17500.0,17450.0,150.0,1.0,1.0,101325.0,0.62,126243.790533,1.15586182983,267.101282576,268.15,274.85,272.366012117,3.14159265359,3.6,5830.0,126000.0
